k ú , [die]
k ú k ú , [die; gerund]
k ũ̀ , [paint]
k ṹ k ũ̀ , [paint; gerund]
s ú , [widow]
s ú s ú , [widow; gerund]
k í , [greet]
k í k í , [greet; gerund]
k ĩ́ , [support]
k ĩ́ k ĩ́ , [support; gerund]
t à , [sell]
t í t à , [sell; gerund]
t ã̀ , [deceive]
t í t ã̀ , [títã̀; gerund]
k á , [fold]
k í k á , [fold; gerund]
k ã́ , [break]
k í k ã́ , [break; gerund]
b ù , [park]
b ú b ù , [park; gerund]
b ũ , [gift; verb]
b ũ b ũ , [gift; gerund]
kp á , [bald]
kp í kp á , [bald; gerund]
kp ã́ , [deprive]
kp í kp ã́ , [deprive; gerund]
dʒ à , [fight; verb]
dʒ í dʒ à , [fight; gerund]
dʒ ã́ , [far]
dʒ í dʒ ã́ , [far; gerund]
s ũ̀ , [sleep]
s ṹ s ũ̀ , [sleep; gerund]
o n ĩ́ , [owner]
ɔ n ĩ , [person]
è l é kp o , [palm oil; owner/person]
ɛ l ɛ́ dʒ a , [fish; owner/person]
ò n ĩ́ ʃ u , [yam; owner/person]
à l á t ù , [cap; owner/person]
è l è w ó , [wealth; owner/person]
à l á k á , [hand; owner/person]
à l á r ũ , [mouth; owner/person]
ò n ĩ́ dʒ ó , [dancer; owner/person]
ò n ĩ́ k ũ̀ , [stomach; owner/person]
ò n ĩ́ r ũ , [hair; owner/person]
ɔ l ɔ́ kp à , [police; owner/person]
e l é dʒ ò , [snake; owner/person]
ɔ l ɔ́ ɲ ã̀ , [monitor lizard; owner/person]
ɔ l ɔ́ j à , [wife; owner/person]
o l ó w ò , [business; owner/person]
o n ĩ́ t í t ì , [road; owner/person]
ɛ l ɛ́ b ũ̀ , [gift; owner/person]
ɛ l ɛ́ kp à , [groundnut; owner/person]
o l ó k ò , [farmer; owner/person]
o n ĩ́̀ ʃ ɛ́ , [worker; owner/person]
a l á gb ò , [ram; owner/person]
o n í l é , [land; owner/person]
à l à gb à , [elder; owner/person]
ɔ l ɔ́ dʒ à , [market; owner/person]
