k u p a a m b a,INF adorn
m p a a m b a,1SG.HAB adorn
a p a a m b a,3SG.HAB adorn
p a a m b a,adorn
k u p a a ŋ g a,INF line_up
m p a a ŋ g a,1SG.HAB line_up
a p a a ŋ g a,3SG.HAB line_up
p a a ŋ g a,line_up
k u p i m a,INF measure
m p i m a,1SG.HAB measure
a p i m a,3SG.HAB measure
p i m a,measure
k u p u u p a,INF be_light
m p u u p a,1SG.HAB be_light
a p u u p a,3SG.HAB be_light
p u u p a,be_light
k u p e k e č a,INF make_fire_with_stick
m p e k e č a,1SG.HAB make_fire_with_stick
a p e k e č a,3SG.HAB make_fire_with_stick
p e k e č a,make_fire_with_stick
k u p i i n d a,INF be_bent
m p i i n d a,1SG.HAB be_bent
a p i i n d a,3SG.HAB be_bent
p i i n d a,be_bent
k u h i i g a,INF hunt
m p i i g a,1SG.HAB hunt
a h i i g a,3SG.HAB hunt
h i i g a,hunt
k u s a a m b a,INF place_holder
m s a a m b a,1SG.HAB place_holder
a s a a m b a,3SG.HAB place_holder
s a a m b a,place_holder
